farmyr,Year,Longitude,Latitude
11-020-004-00017-01-00 2014,2014,-6.170888696,36.82892182
11-020-005-00031-01-00 2011,2011,-6.122592402,36.77773069
11-020-005-00031-01-00 2013,2013,-6.122603227,36.77772139
11-020-005-00032-01-00 2015,2015,-6.125067761,36.77882803
11-020-005-00047-01-00 2011,2011,-6.144777906,36.75322174
11-020-005-00047-01-00 2013,2013,-6.144777906,36.75322174
11-020-005-00047-01-00 2015,2015,-6.146618068,36.75166823
11-020-005-00093-14-00 2012,2012,-6.134822336,36.73918432
11-020-005-00108-04-00 2014,2014,-6.13005205,36.72153133
11-020-006-00001-04-02 2014,2014,-6.119193141,36.85844961
11-020-007-00025-15-00 2011,2011,-6.068824591,36.80384857
11-020-007-00052-01-00 2014,2014,-6.084931451,36.8223726
11-020-007-00056-01-00 2014,2014,-6.094736486,36.82843426
11-020-007-00057-05-00 2015,2015,-6.08498374,36.83079035
11-020-007-00058-07-00 2014,2014,-6.076577874,36.8245266
11-020-008-00002-01-00 2012,2012,-6.078303522,36.85274036
11-020-008-00008-03-00 2014,2014,-6.070117256,36.84963623
11-020-009-00047-05-00 2015,2015,-6.061161612,36.83305172
11-020-010-00001-23-00 2011,2011,-6.02018566,36.84501421
11-020-011-00019-05-00 2014,2014,-5.954121012,36.8023762
11-020-011-00050-03-00 2012,2012,-5.95180331,36.81263461
11-020-018-00012-01-00 2014,2014,-5.950882463,36.76997076
11-020-018-00014-05-00 2014,2014,-5.946440241,36.76745864
11-020-019-00009-04-00 2011,2011,-5.949276682,36.75700719
11-020-020-00008-08-00 2014,2014,-5.961382915,36.75584115
11-020-020-00092-01-00 2014,2014,-6.018510946,36.73648102
11-020-020-00102-07-00 2011,2011,-5.985195727,36.72040783
11-020-021-00004-20-00 2011,2011,-5.953525357,36.68350374
11-020-021-00004-20-00 2013,2013,-5.954751284,36.68104021
11-020-023-00002-03-00 2011,2011,-5.878605872,36.66637953
11-020-076-00002-08-00 2011,2011,-5.964776226,36.52581073
11-020-078-00020-36-00 2012,2012,-5.967781037,36.55532997
11-020-078-00020-38-01 2011,2011,-5.980395316,36.5414707
11-020-078-00024-34-00 2012,2012,-5.967984707,36.53292211
11-020-079-00157-28-01 2012,2012,-6.0626705,36.58988367
11-020-079-00157-29-02 2011,2011,-6.061422391,36.58912277
11-020-079-00173-01-01 2012,2012,-6.08439052,36.58138415
11-020-079-00173-01-05 2012,2012,-6.08439052,36.58138415
11-020-079-00174-03-00 2011,2011,-6.098263409,36.57373396
11-020-079-00236-03-00 2011,2011,-6.103736918,36.59128044
11-020-079-00236-03-00 2013,2013,-6.103736918,36.59128044
11-020-085-00022-03-01 2011,2011,-6.150045141,36.64894259
11-020-085-00022-03-02 2013,2013,-6.150055944,36.64893329
11-020-087-00001-01-00 2012,2012,-6.176676293,36.66782444
11-020-087-00001-01-00 2014,2014,-6.177309464,36.66771743
11-020-089-00001-07-00 2014,2014,-6.191491618,36.67364546
11-020-090-00002-01-00 2014,2014,-6.207659416,36.67777012
11-020-090-00006-03-01 2012,2012,-6.200840516,36.67465582
11-020-090-00008-01-00 2011,2011,-6.196315784,36.67452517
11-020-090-00008-01-00 2012,2012,-6.197792824,36.67075497
11-020-090-00008-01-00 2013,2013,-6.200500605,36.67185357
11-020-090-00015-01-00 2013,2013,-6.194190887,36.66831967
11-020-090-00019-05-00 2011,2011,-6.208405976,36.67635331
11-020-090-00024-01-00 2011,2011,-6.20195528,36.67806797
11-020-091-00014-03-00 2013,2013,-6.199027241,36.6662614
11-020-091-00015-02-00 2012,2012,-6.209954022,36.66919298
11-020-093-00003-01-00 2014,2014,-6.205779161,36.68744439
11-020-097-00001-01-00 2012,2012,-6.255501764,36.72089322
11-020-097-00005-05-00 2011,2011,-6.243159991,36.72232078
11-020-097-00005-05-00 2013,2013,-6.243159991,36.72232078
11-020-097-00005-05-01 2011,2011,-6.243159991,36.72232078
11-020-097-00081-03-00 2012,2012,-6.221428304,36.73209349
11-020-097-00084-01-00 2015,2015,-6.21515657,36.7180803
11-020-097-00109-05-00 2013,2013,-6.22125495,36.72553836
11-020-100-00028-01-00 2012,2012,-6.187643922,36.72265963
11-020-101-00022-02-00 2015,2015,-6.204967005,36.73816111
11-020-101-00064-09-00 2014,2014,-6.206814007,36.74756361
11-020-105-00011-01-00 2012,2012,-6.174063799,36.69025028
11-020-105-00013-01-00 2013,2013,-6.182513293,36.70955109
11-020-105-00034-04-00 2014,2014,-6.170766722,36.69551048
11-020-105-00066-04-00 2015,2015,-6.186421499,36.70473376
11-020-105-00080-01-00 2014,2014,-6.175451849,36.68890665
11-020-106-00010-01-00 2012,2012,-6.159507571,36.70227995
11-020-106-00013-01-00 2011,2011,-6.167990671,36.7061092
11-020-106-00013-01-00 2014,2014,-6.168415551,36.70582756
11-020-106-00083-08-00 2012,2012,-6.158073034,36.70987822
11-020-106-00084-01-00 2014,2014,-6.155842979,36.71500157
11-020-106-00084-01-01 2012,2012,-6.155917556,36.71490948
11-020-108-00002-01-00 2012,2012,-6.136577488,36.71987258
11-020-111-00010-52-04 2012,2012,-6.065485825,36.79908681
11-020-111-00017-13-00 2011,2011,-6.073987584,36.78500817
11-020-111-00025-01-00 2014,2014,-6.10779036,36.78038944
11-020-111-00042-01-00 2011,2011,-6.078817215,36.75957108
11-020-111-00050-01-00 2014,2014,-6.108341815,36.76964294
11-020-114-00048-01-00 2011,2011,-6.026775532,36.77867764
11-020-114-00051-01-00 2012,2012,-6.021286876,36.78553063
11-020-114-00052-01-00 2014,2014,-6.021741755,36.78285175
11-020-114-00401-02-00 2011,2011,-6.058460255,36.77373942
11-020-114-00401-02-00 2013,2013,-5.998516977,36.77706903
11-020-114-00533-01 2011,2011,-6.000020588,36.79694591
11-020-115-00015-02-00 2011,2011,-5.978858105,36.76580362
11-020-115-00105-01-00 2012,2012,-5.985002717,36.76915487
11-020-117-00084-02-00 2011,2011,-6.05752743,36.71811061
11-020-119-00002-19-00 2012,2012,-5.989994124,36.70155271
11-020-119-00002-24-00 2012,2012,-5.989994124,36.70155271
11-020-119-00003-03-00 2011,2011,-5.962732513,36.70911957
11-020-119-00003-25-00 2011,2011,-5.976918509,36.70375504
11-020-119-00015-01-00 2014,2014,-6.03056562,36.69027113
11-020-119-00016-02-00 2013,2013,-6.032784706,36.68723185
11-020-119-00016-02-00 2015,2015,-6.035791598,36.68545202
11-020-119-00023-65-00 2011,2011,-6.020700333,36.69179263
11-020-119-00023-65-00 2013,2013,-6.020700333,36.69179263
11-020-119-00023-65-00 2015,2015,-6.02235483,36.68918239
11-020-119-00023-95-00 2012,2012,-6.208928206,36.73864897
11-020-119-00025-05-00 2011,2011,-6.049724277,36.68552821
11-020-119-00142-05-00 2012,2012,-6.005589708,36.71492894
11-020-133-00081-03-0 2012,2012,-5.859012885,36.61270043
11-020-133-00156-05-00 2013,2013,-5.883725331,36.63091187
11-020-133-00156-06-00 2012,2012,-5.883714495,36.63092114
11-020-133-00157-01-01 2011,2011,-6.133648398,36.40829922
11-020-133-00157-02-01 2014,2014,-5.886540701,36.62725699
11-020-135-00019-01-01 2011,2011,-5.963714371,36.63238968
11-020-135-00019-01-01 2013,2013,-5.963725196,36.6323804
11-020-138-00016-02-00 2013,2013,-6.010924446,36.62215746
11-020-145-00007-07-00 2014,2014,-5.998530298,36.66635577
11-020-145-00011-01-00 2012,2012,-5.9828397,36.65948694
11-020-145-00040-01-02 2011,2011,-5.988495364,36.66083192
11-020-145-00042-01-00 2011,2011,-5.993772851,36.6564549
11-020-145-00042-01-00 2013,2013,-5.993772851,36.6564549
11-020-145-00064-01-00 2015,2015,-5.997155984,36.65688339
11-020-145-00068-03-00 2011,2011,-5.996257575,36.66313288
11-020-146-00043-09-00 2013,2013,-6.068045381,36.6563925
11-020-153-00005-04-00 2013,2013,-6.157551658,36.6853913
11-020-159-00077-01-00 2011,2011,-6.076513619,36.68310828
11-020-163-00056-06-00 2012,2012,-6.092394446,36.67429815
11-023-002-00002-07-00 2011,2011,-6.008130908,36.50042016
11-023-032-00013-10-01 2011,2011,-5.865643189,36.45457271
11-023-032-00013-10-02 2011,2011,-5.865643189,36.45457271
11-023-051-00018-01-00 2015,2015,-5.863501106,36.41441105
11-023-083-00004-22-00 2014,2014,-5.98194629,36.39182985
11-023-089-00001-02-01 2013,2013,-6.064624733,36.46372841
11-023-089-00023-07-00 2014,2014,-6.027156669,36.45414201
11-024-022-00030-06-00 2018,2018,-5.284299937,36.88195764
11-024-023-00214-02-00 2018,2018,-5.319136225,36.88866381
11-024-023-00241-02-00 2018,2018,-5.319193493,36.88759021
11-027-002-00020-05-00 2013,2013,-6.272252179,36.70362858
