farmyr,Year,Longitude,Latitude
11-006-041-00011-02-00 2013,2013,-5.836486617,36.70252764
11-006-041-00011-02-00 2014,2014,-5.837513864,36.70063772
11-006-041-00012-00-01 2006,2006,-5.834555754,36.70388938
11-006-041-00012-03 2011,2011,-5.835751453,36.70201348
11-006-041-00012-03-00 2009,2009,-5.834571569,36.70401516
11-006-041-00012-03-00 2012,2012,-5.835763297,36.70203122
11-006-041-00012-03-00 2013,2013,-5.834571569,36.70401516
11-006-041-00013-00-02 2006,2006,-5.833072898,36.70587123
11-006-041-00019-00-01 2007,2007,-5.836094809,36.7006986
11-006-041-00020-03 2018,2018,-5.840345244,36.69668611
11-006-041-00023-01-00 2015,2015,-5.830494546,36.70301281
11-006-041-00023-01-00 2018,2018,-5.832766319,36.69904765
11-006-041-00023-01-01 2017,2017,-5.832766319,36.69904765
11-006-041-00028-03-01 2010,2010,-5.816443721,36.70409428
11-006-041-00034-00-01 2007,2007,-5.809696021,36.70795543
11-006-041-00044-00-00 2008,2008,-5.809446817,36.70219604
11-006-041-00044-00-03 2006,2006,-5.809221865,36.70216531
11-006-041-00044-02-00 2011,2011,-5.809446817,36.70219604
11-006-041-00045-04-00 2012,2012,-5.814412644,36.7005737
11-006-041-00045-05 2015,2015,-5.813645093,36.6997808
11-006-041-00046-02-00 2009,2009,-5.814181973,36.70376031
11-006-041-00046-02-00 2012,2012,-5.815206837,36.70178952
11-006-041-00046-02-00 2015,2015,-5.815455138,36.70184673
11-006-041-00046-02-00 2017,2017,-5.815396928,36.70178502
11-006-041-00048-00-00 2008,2008,-5.815303581,36.69984069
11-006-041-00048-01-00 2009,2009,-5.815303581,36.69984069
11-006-041-00048-03 2011,2011,-5.816153414,36.69798218
11-006-041-00048-03-00 2013,2013,-5.815303581,36.69984069
11-006-041-00048-03-00 2014,2014,-5.816196167,36.6979271
11-006-041-00075-00-00 2008,2008,-5.813278173,36.68970649
11-006-041-00075-02 2015,2015,-5.814853189,36.68749623
11-006-041-00075-02-00 2009,2009,-5.813277683,36.68970533
11-006-041-00075-02-00 2010,2010,-5.813277683,36.68970533
11-006-041-00075-02-00 2011,2011,-5.813288863,36.68970506
11-006-041-00075-02-00 2012,2012,-5.815020557,36.68748326
11-006-041-00075-02-00 2017,2017,-5.81440631,36.68782221
11-006-041-00093-01-00 2009,2009,-5.818629718,36.69622933
11-006-041-00094-00-01 2006,2006,-5.818864835,36.69531357
11-006-041-00094-00-01 2008,2008,-5.821039298,36.69785741
11-006-041-00098-01-00 2017,2017,-5.8280219,36.69234767
11-006-041-00098-01-00 2018,2018,-5.828044261,36.69234714
11-006-041-00098-07-00 2010,2010,-5.827560765,36.69411592
11-006-041-00103-02-01 2009,2009,-5.819639746,36.68589595
11-006-041-00104-01-01 2017,2017,-5.823153806,36.68713734
11-006-041-00118-01 2012,2012,-5.836517657,36.68815323
11-006-041-00118-01-01 2010,2010,-5.836517657,36.68815323
11-006-041-00118-01-56 2018,2018,-5.837873573,36.68638163
11-006-041-00127-01 2016,2016,-5.840975871,36.6919309
11-006-043-00001-04-00 2009,2009,-5.813875567,36.68277916
11-006-043-00001-04-00 2015,2015,-5.814460627,36.68041325
11-006-043-00001-09-00 2014,2014,-5.815133951,36.68108222
11-006-043-00001-09-01 2017,2017,-5.811665517,36.68138952
11-006-043-00001-09-02 2018,2018,-5.812932277,36.68237791
11-006-043-00003-01-01 2017,2017,-5.813376526,36.67706848
11-006-043-00003-03-00 2011,2011,-5.813084416,36.67918414
11-006-043-00005-00-00 2008,2008,-5.810918737,36.67593701
11-006-043-00005-00-01 2007,2007,-5.811277453,36.67564917
11-006-043-00005-02 2011,2011,-5.812643961,36.67385057
11-006-043-00005-02-00 2014,2014,-5.812643305,36.67383256
11-006-044-00006-00-00 2008,2008,-5.846529412,36.67260323
11-006-044-00006-00-01 2008,2008,-5.846529412,36.67260323
11-006-044-00006-01-00 2010,2010,-5.846529412,36.67260323
11-006-044-00006-01-00 2011,2011,-5.846529412,36.67260323
11-006-044-00006-01-00 2012,2012,-5.846529412,36.67260323
11-006-044-00006-01-00 2015,2015,-5.847741199,36.67088003
11-006-044-00006-01-00 2017,2017,-5.847741199,36.67088003
11-006-044-00006-01-01 2016,2016,-5.847741199,36.67088003
11-006-044-00006-01-01 2018,2018,-5.847741199,36.67088003
11-006-044-00010-01-01 2017,2017,-5.807960733,36.6764304
11-006-044-00010-01-02 2015,2015,-5.83679653,36.67138476
11-006-044-00010-01-02 2016,2016,-5.83679653,36.67138476
11-006-044-00018-02-01 2017,2017,-5.834499033,36.6801088
11-006-044-00019-03-00 2015,2015,-5.841009555,36.68007969
11-006-044-00019-04-00 2010,2010,-5.839522071,36.68222394
11-006-044-00019-04-00 2012,2012,-5.839522071,36.68222394
11-006-044-00019-04-00 2014,2014,-5.839096945,36.68222508
11-006-044-00021-08-00 2017,2017,-5.837489578,36.69054519
11-006-044-00021-08-00 2018,2018,-5.870210482,36.68428122
11-006-045-00003-00-30 2007,2007,-5.862368307,36.68582189
11-006-045-00004-00-01 2007,2007,-5.864717517,36.68460284
11-006-045-00004-01-00 2012,2012,-5.866474469,36.68280326
11-006-045-00004-01-00 2013,2013,-5.86475473,36.68470108
11-006-045-00004-01-00 2014,2014,-5.865869486,36.68278178
11-006-045-00005-00-02 2006,2006,-5.862167675,36.68222205
11-006-045-00005-01 2011,2011,-5.863373895,36.68035465
11-006-045-00005-01-0 2016,2016,-5.863278458,36.68019473
11-006-045-00005-01-00 2012,2012,-5.8637915,36.68045274
11-006-045-00007-01 2015,2015,-5.86097491,36.68354842
11-006-045-00024-00-03 2007,2007,-5.846545568,36.67273801
11-006-045-00024-05-06 2009,2009,-5.854937905,36.67430325
11-006-046-00004-04-1 2013,2013,-5.878983137,36.692396
11-006-046-00012-07 2015,2015,-5.873324485,36.69759734
11-006-046-00028-00 2011,2011,-5.866780073,36.68621131
11-006-046-00029-02 2016,2016,-5.870084652,36.68541071
11-006-046-00029-02-00 2015,2015,-5.869902833,36.68443282
11-006-046-00029-02-00 2018,2018,-5.870210482,36.68428122
11-006-046-00030-01-00 2017,2017,-5.870210482,36.68428122
11-006-046-00031-00 2011,2011,-5.87256202,36.68523377
11-006-046-00031-00-01 2007,2007,-5.871377649,36.68708271
11-006-046-00031-02-00 2009,2009,-5.871255682,36.68711269
11-006-046-00031-02-00 2010,2010,-5.872674025,36.68553746
11-006-046-00032-00-00 2007,2007,-5.871551174,36.68934044
11-006-046-00032-01 2010,2010,-5.871425184,36.68926238
11-006-046-00032-01 2011,2011,-5.873759702,36.68734961
11-006-046-00032-01 2012,2012,-5.872766093,36.68740966
11-006-046-00032-01-01 2017,2017,-5.872745076,36.68744621
11-006-046-00032-01-01 2018,2018,-5.872745076,36.68744621
11-006-046-00040-00-00 2007,2007,-5.883363385,36.6802504
11-006-046-00040-01 2010,2010,-5.883364651,36.6805838
11-006-046-00040-01 2012,2012,-5.886216759,36.67906378
11-006-046-00040-01-00 2009,2009,-5.883364651,36.6805838
11-006-046-00040-01-00 2013,2013,-5.883364987,36.6805928
11-006-046-00040-01-01 2018,2018,-5.886263827,36.67912572
11-006-046-00041-02 2016,2016,-5.887325714,36.67760403
11-006-046-00043-00-02 2008,2008,-5.889675506,36.67632528
11-006-046-00043-02-09 2018,2018,-5.891159087,36.67480746
11-006-046-00044-00-20 2007,2007,-5.888238881,36.67928506
11-006-046-00044-02-11 2018,2018,-5.889400095,36.67713013
11-006-046-00050-01-01 2009,2009,-5.899678467,36.68002513
11-006-046-00050-01-01 2015,2015,-5.897858765,36.68102469
11-006-046-00050-01-1 2010,2010,-5.899678467,36.68002513
11-006-046-00056-01 2015,2015,-5.889489357,36.67443349
