farmyr,Year,Longitude,Latitude
11-021-008-00112-01-02 2018,2018,-5.400983175,36.42304753
11-021-008-00112-01-02 2019,2019,-5.400983175,36.42304753
11-021-008-00122-01-00 2014,2014,-5.396138366,36.42688529
11-021-008-00122-01-00 2015,2015,-5.396138366,36.42688529
11-021-008-00122-01-00 2016,2016,-5.396138366,36.42688529
11-021-008-00122-01-00 2017,2017,-5.396138366,36.42688529
11-021-008-00122-01-00 2018,2018,-5.396138366,36.42688529
11-021-008-00122-01-00 2019,2019,-5.396138366,36.42688529
11-021-008-00127-03 2011,2011,-5.397411971,36.43239366
11-021-008-00127-03 2012,2012,-5.399340349,36.4305433
11-021-008-00127-03 2013,2013,-5.399340349,36.4305433
11-021-008-00127-03-00 2013,2013,-5.396138626,36.42689376
11-021-008-00127-03-00 2014,2014,-5.396138626,36.42689376
11-021-009-00016-00-a0 2006,2006,-5.341571166,36.40265628
11-021-009-00016-00-a0 2007,2007,-5.341575283,36.40265971
11-021-009-00029-11-ok 2011,2011,-5.378870788,36.40851978
11-021-009-00029-11-ok 2012,2012,-5.393057024,36.41152593
11-021-009-00029-11-ok 2013,2013,-5.393057024,36.41152593
11-021-009-00029-21-02 2013,2013,-5.390814511,36.41180259
11-021-009-00029-21-02 2014,2014,-5.390814511,36.41180259
11-021-010-00010-00-00 2006,2006,-5.354650613,36.40514247
11-021-010-00018-00-00 2006,2006,-5.335402966,36.39648047
11-021-011-00021-00-00 2006,2006,-5.326038161,36.35748917
11-021-011-00021-00-00 2007,2007,-5.326035688,36.3574922
11-021-011-00030-00-b0 2006,2006,-5.322640762,36.35079883
11-021-011-00030-00-b0 2007,2007,-5.322638633,36.35079842
11-021-011-00066-00-a0 2006,2006,-5.315504641,36.34357459
11-021-011-00066-00-a0 2007,2007,-5.315505267,36.34357314
11-021-011-00120-00-00 2006,2006,-5.326965166,36.33077404
11-021-011-00120-00-00 2007,2007,-5.326967481,36.33077696
11-021-011-00134-00-00 2007,2007,-5.327347797,36.33457313
11-021-011-00134-00-00 2008,2008,-5.327347797,36.33457313
11-021-011-00134-00-b0 2006,2006,-5.327351837,36.33457413
11-021-011-00134-00-b0 2007,2007,-5.327347797,36.33457313
11-021-012-00051-00-b0 2006,2006,-5.337125876,36.33955092
11-021-012-00051-00-b0 2007,2007,-5.337121298,36.33954686
11-021-013-00061-00-b0 2006,2006,-5.359333138,36.32845791
11-021-013-00061-00-b0 2007,2007,-5.359335104,36.32845661
11-021-013-00068-00-2a 2007,2007,-5.360685572,36.3333421
11-021-013-00068-02-a 2008,2008,-5.360685572,36.3333421
11-021-013-00068-02-a 2009,2009,-5.360685572,36.3333421
11-021-013-00070-00-2c 2007,2007,-5.376537893,36.33373078
11-021-013-00070-02-c 2008,2008,-5.376537893,36.33373078
11-021-013-00070-02-c 2009,2009,-5.376537893,36.33373078
11-021-015-00008-01-00 2013,2013,-5.384463233,36.40397956
11-021-015-00008-01-00 2014,2014,-5.384463056,36.40397379
11-021-015-00008-01-00 2015,2015,-5.384463056,36.40397379
11-021-015-00008-01-00 2016,2016,-5.384463056,36.40397379
11-021-015-00008-01-00 2017,2017,-5.383909087,36.40445353
11-021-015-00008-01-00 2018,2018,-5.383909087,36.40445353
11-021-015-00008-01-00 2019,2019,-5.383909087,36.40445353
11-021-015-00008-01-or 2011,2011,-5.383669054,36.40572015
11-021-015-00008-01-or 2012,2012,-5.383015598,36.40549886
11-021-015-00008-01-or 2013,2013,-5.383015598,36.40549886
11-033-002-00003-00-a0 2006,2006,-5.315786772,36.32834164
11-033-002-00003-00-a0 2007,2007,-5.315789524,36.32834429
11-033-002-00014-00-a0 2006,2006,-5.314612614,36.32441191
11-033-002-00014-00-a0 2007,2007,-5.314614904,36.32441024
11-033-012-00014-01 2011,2011,-5.410978369,36.24320704
11-033-012-00014-01 2012,2012,-5.412805531,36.24147571
11-033-012-00014-01 2013,2013,-5.412805531,36.24147571
11-033-012-00014-01-00 2013,2013,-5.412396865,36.24193551
11-033-012-00014-01-00 2014,2014,-5.412396865,36.24193551
11-033-012-00014-01-01 2014,2014,-5.412396837,36.24193461
11-033-012-00014-01-01 2015,2015,-5.412396837,36.24193461
11-033-012-00014-01-01 2016,2016,-5.412396837,36.24193461
11-033-012-00014-01-01 2017,2017,-5.412396837,36.24193461
11-033-012-00014-01-01 2018,2018,-5.412396837,36.24193461
11-033-012-00014-01-01 2019,2019,-5.412396837,36.24193461
11-033-012-00015-00-1b 2007,2007,-5.410378028,36.24608794
11-033-012-00015-00-1b 2008,2008,-5.410378028,36.24608794
11-033-012-00015-00-1b 2009,2009,-5.410378028,36.24608794
11-033-012-00015-00-1b 2010,2010,-5.410129535,36.2460002
11-033-012-00015-00-1b 2011,2011,-5.410129535,36.2460002
11-033-012-00015-00-1b 2012,2012,-5.410129535,36.2460002
11-033-012-00020-01-00 2013,2013,-5.403539033,36.23717603
11-033-012-00020-01-00 2014,2014,-5.403539033,36.23717603
11-033-012-00020-04 2013,2013,-5.40601303,36.23803436
11-039-010-00026-00-00 2006,2006,-5.89493478,36.31058461
11-039-010-00026-00-00 2007,2007,-5.89493478,36.31058461
11-039-010-00026-00-00 2008,2008,-5.89493478,36.31058461
11-039-010-00026-06 2009,2009,-5.889568991,36.31303063
11-039-010-00026-06 2010,2010,-5.889568991,36.31303063
11-039-010-00026-06 2012,2012,-5.889568991,36.31303063
11-039-010-00026-06 2013,2013,-5.889568991,36.31303063
11-039-010-00026-06 2014,2014,-5.889568991,36.31303063
11-039-010-00026-06 2015,2015,-5.889568991,36.31303063
11-039-010-00026-06 2016,2016,-5.889568991,36.31303063
11-039-010-00026-06 2017,2017,-5.889568991,36.31303063
11-039-010-00026-06 2018,2018,-5.889568991,36.31303063
11-039-010-00026-06 2019,2019,-5.889568991,36.31303063
11-039-010-00026-09 2014,2014,-5.900490117,36.30785439
11-039-010-00026-10 2009,2009,-5.894843457,36.31202875
11-039-010-00026-10 2012,2012,-5.894843457,36.31202875
11-039-010-00026-10 2013,2013,-5.894843457,36.31202875
11-039-010-00026-10 2014,2014,-5.894843457,36.31202875
11-039-010-00026-17 2015,2015,-5.898648781,36.30804327
11-039-010-00026-17 2016,2016,-5.898648781,36.30804327
11-039-010-00026-17 2017,2017,-5.898648781,36.30804327
11-039-010-00026-17 2018,2018,-5.898648781,36.30804327
11-039-010-00026-17 2019,2019,-5.898648781,36.30804327
11-039-010-00030-00-01 2008,2008,-5.908981429,36.31365591
11-039-010-00030-09 2009,2009,-5.906641978,36.31340042
11-039-010-00030-09 2010,2010,-5.906641978,36.31340042
14-005-005-01221-01 2011,2011,-5.023418664,37.79227352
14-005-005-01221-01 2012,2012,-5.023418664,37.79227352
14-005-005-01221-01 2013,2013,-5.023418664,37.79227352
14-005-005-01221-01 2014,2014,-5.023418664,37.79227352
14-005-005-01221-01 2015,2015,-5.023418664,37.79227352
14-005-005-01221-01 2016,2016,-5.023418664,37.79227352
14-005-012-00022-00-10 2010,2010,-5.025396567,37.79337988
