farmyr,Year,Longitude,Latitude
11-023-064-00003-01-1 2011,2011,-5.838858923,36.31058769
11-023-064-00003-01-1 2012,2012,-5.833865373,36.30921925
11-023-064-00003-01-1 2013,2013,-5.833865373,36.30921925
11-023-064-00003-01-1 2014,2014,-5.833865373,36.30921925
11-023-064-00003-01-1 2015,2015,-5.833865373,36.30921925
11-023-064-00003-01-1 2016,2016,-5.833865373,36.30921925
11-023-064-00003-01-1 2017,2017,-5.833865373,36.30921925
11-023-064-00003-01-1 2018,2018,-5.833865373,36.30921925
11-023-064-00003-01-1 2019,2019,-5.833865373,36.30921925
11-023-064-00003-01-2 2011,2011,-5.838858923,36.31058769
11-023-064-00003-01-2 2014,2014,-5.845800952,36.31255838
11-023-064-00003-01-2 2015,2015,-5.845800952,36.31255838
11-023-064-00003-01-2 2016,2016,-5.845800952,36.31255838
11-023-064-00003-01-2 2018,2018,-5.839606041,36.30908293
11-023-064-00003-01-4 2018,2018,-5.833865373,36.30921925
11-023-064-00003-01-5 2011,2011,-5.838858596,36.31057868
11-023-064-00003-05-1 2009,2009,-5.844242246,36.31285001
11-023-064-00003-06 2019,2019,-5.856450172,36.31998249
11-023-064-00003-06-1 2009,2009,-5.835952798,36.30904616
11-023-064-00003-07-2 2010,2010,-5.840456503,36.30464045
11-023-064-00003-08-1 2009,2009,-5.841750156,36.31413497
11-023-064-00003-08-1 2010,2010,-5.840928571,36.31047639
11-023-064-00004-02 2011,2011,-5.858966687,36.32271603
11-023-064-00004-02 2013,2013,-5.856450172,36.31998249
11-023-064-00004-02 2014,2014,-5.856450172,36.31998249
11-023-064-00004-02 2015,2015,-5.856450172,36.31998249
11-023-064-00004-02 2016,2016,-5.856450172,36.31998249
11-023-064-00004-02 2017,2017,-5.856450172,36.31998249
11-023-064-00004-02 2018,2018,-5.856450172,36.31998249
11-023-064-00004-02-3 2018,2018,-5.856450172,36.31998249
11-023-065-00009-01 2012,2012,-5.808098223,36.32842896
11-023-065-00009-01 2013,2013,-5.808098223,36.32842896
11-023-065-00009-01 2014,2014,-5.808098223,36.32842896
11-023-065-00009-01 2015,2015,-5.808098223,36.32842896
11-023-065-00009-01 2017,2017,-5.808098223,36.32842896
11-023-065-00009-01 2018,2018,-5.808098223,36.32842896
11-023-065-00009-01 2019,2019,-5.808098223,36.32842896
11-023-065-00009-01-3 2010,2010,-5.810372901,36.32345227
11-023-065-00009-02 2012,2012,-5.821743898,36.32261892
11-023-065-00009-02-1 2009,2009,-5.811282962,36.32497194
11-023-065-00009-02-1 2011,2011,-5.813786357,36.32400528
11-023-065-00009-02-3 2010,2010,-5.81844101,36.32072063
11-023-065-00009-02-8 2009,2009,-5.822534202,36.3234993
11-023-065-00009-03 2013,2013,-5.821743898,36.32261892
11-023-065-00009-03 2014,2014,-5.821743898,36.32261892
11-023-065-00009-03 2015,2015,-5.821743898,36.32261892
11-023-065-00009-03 2017,2017,-5.815961475,36.32202379
11-023-065-00009-03 2018,2018,-5.815961475,36.32202379
11-023-065-00009-03 2019,2019,-5.815961475,36.32202379
11-023-065-00009-05 2014,2014,-5.806418625,36.32321432
11-023-066-00001-03-00 2015,2015,-5.819905337,36.30807162
11-023-066-00001-04 2012,2012,-5.813229283,36.31718716
11-023-066-00001-04 2013,2013,-5.813229283,36.31718716
11-023-066-00001-04 2014,2014,-5.813229283,36.31718716
11-023-066-00001-04 2016,2016,-5.813229283,36.31718716
11-023-066-00001-04 2017,2017,-5.813229283,36.31718716
11-023-066-00001-04 2018,2018,-5.813229283,36.31718716
11-023-066-00001-04 2019,2019,-5.813229283,36.31718716
11-023-066-00001-04-00 2015,2015,-5.825405241,36.30620231
11-023-066-00001-04-3 2010,2010,-5.811238896,36.31727007
11-023-066-00001-05 2009,2009,-5.813912308,36.3150368
11-023-066-00001-05 2016,2016,-5.816602885,36.31345772
11-023-066-00001-05-5 2010,2010,-5.82071007,36.31217119
11-023-066-00002-03-1 2011,2011,-5.824545892,36.30398761
11-023-066-00002-05-1 2009,2009,-5.824958218,36.3042968
11-023-066-00002-07-2 2010,2010,-5.824534905,36.2994223
11-023-066-00002-08 2012,2012,-5.820689068,36.30788189
11-023-066-00002-08 2013,2013,-5.820689068,36.30788189
11-023-066-00002-08 2014,2014,-5.820689068,36.30788189
11-023-066-00002-08-1 2011,2011,-5.824545892,36.30398761
11-023-066-00002-08-2 2010,2010,-5.821080259,36.30609734
11-023-066-00002-09 2012,2012,-5.829116183,36.30382539
11-023-066-00002-09 2013,2013,-5.829116183,36.30382539
11-023-066-00002-09 2014,2014,-5.829116183,36.30382539
11-023-066-00002-09 2015,2015,-5.829116183,36.30382539
11-023-066-00002-09 2017,2017,-5.829116183,36.30382539
11-023-066-00002-09 2018,2018,-5.829116183,36.30382539
11-023-066-00002-09 2019,2019,-5.829116183,36.30382539
11-023-066-00002-10-1 2009,2009,-5.824471251,36.29944165
11-023-066-00002-10-1 2012,2012,-5.822440128,36.29900858
11-023-066-00002-10-1 2013,2013,-5.822440128,36.29900858
11-023-066-00002-10-1 2014,2014,-5.822440128,36.29900858
11-023-066-00002-10-1 2015,2015,-5.822440128,36.29900858
11-023-066-00002-10-1 2017,2017,-5.822440128,36.29900858
11-023-066-00002-10-1 2018,2018,-5.822440128,36.29900858
11-023-066-00002-10-1 2019,2019,-5.822440128,36.29900858
11-023-067-00001-02 2009,2009,-5.80141923,36.31772942
11-023-067-00001-02 2012,2012,-5.801424583,36.31779806
11-023-067-00001-02 2013,2013,-5.801424583,36.31779806
11-023-067-00001-02 2014,2014,-5.801424583,36.31779806
