Year,X,Y
2007,9.925096826,51.49873945
2007,9.937139907,51.49213846
2007,10.12878585,51.5665062
2007,9.731983388,51.66902908
2007,9.72977945,51.66981016
2007,10.05876722,51.55189537
2007,10.00811132,51.74883728
1997,9.793968068,51.56131933
1997,9.793968068,51.56131933
1997,10.02582852,51.6096365
1997,10.02582852,51.6096365
1997,10.15339688,51.60790217
1997,10.15339688,51.60790217
1997,9.868905726,51.41371299
1997,9.868905726,51.41371299
1997,9.841384972,51.57899351
1997,9.841384972,51.57899351
1997,9.924155593,51.41561198
1997,9.924155593,51.41561198
1997,10.04720817,51.50886804
1997,10.04720817,51.50886804
1997,9.758689949,51.53934608
1997,9.758689949,51.53934608
1997,9.877145635,51.6042688
1997,9.877145635,51.6042688
1997,10.00103989,51.54577755
1997,10.00103989,51.54577755
1997,9.927640685,51.48675814
1997,9.927640685,51.48675814
1997,9.997727047,51.57125534
1997,9.997727047,51.57125534
1997,9.946225512,51.60554378
1997,9.946225512,51.60554378
1997,10.17280009,51.55037497
1997,10.17280009,51.55037497
1997,9.724544345,51.50861148
1997,9.724544345,51.50861148
2002,9.813598002,51.43193905
2002,9.813598002,51.43193905
2002,9.813598002,51.43193905
2003,9.813598002,51.43193905
2003,9.813598002,51.43193905
2003,9.813598002,51.43193905
2001,9.813598002,51.43193905
2001,9.813598002,51.43193905
2001,9.813598002,51.43193905
2003,9.787764827,51.55721608
2003,9.787764827,51.55721608
2003,9.787764827,51.55721608
2001,9.787764827,51.55721608
2001,9.787764827,51.55721608
2001,9.787764827,51.55721608
2002,9.787764827,51.55721608
2002,9.787764827,51.55721608
2002,9.787764827,51.55721608
2001,10.03220989,51.49610451
2001,10.03220989,51.49610451
2003,10.03220989,51.49610451
2003,10.03220989,51.49610451
2002,10.15443229,51.60693692
2002,10.15443229,51.60693692
2002,10.15443229,51.60693692
2003,10.15443229,51.60693692
2003,10.15443229,51.60693692
2003,10.15443229,51.60693692
2001,10.15443229,51.60693692
2001,10.15443229,51.60693692
2001,10.15443229,51.60693692
2001,9.869431888,51.4205504
2001,9.869431888,51.4205504
2002,9.869431888,51.4205504
2002,9.869431888,51.4205504
2002,10.1863774,51.54915992
2002,10.1863774,51.54915992
2002,10.1863774,51.54915992
2001,10.1863774,51.54915992
2001,10.1863774,51.54915992
2001,10.1863774,51.54915992
2003,10.1863774,51.54915992
2003,10.1863774,51.54915992
2003,10.1863774,51.54915992
2003,9.890265795,51.66193772
